epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.832,0.89387,2.23932,1.10746,0.00863,1,0.83029,0.62847,0.55925,2.68346,1.02103,0.00016,0.00016,0.00016
2,255.137,0.83103,1.21427,1.06911,0.98251,0.63851,0.86978,0.65138,0.80883,2.21744,1.15261,0.00031756,0.00031756,0.00031756
3,328.014,0.80849,1.04577,1.07408,0.95153,0.66929,0.82745,0.59296,0.82647,2.14842,1.1842,0.00045136,0.00045136,0.00045136
4,437.019,0.76855,0.95447,1.03602,0.93733,0.84986,0.91696,0.72189,0.80951,1.5445,1.18435,0.0005614,0.0005614,0.0005614
5,513.973,0.83233,0.95142,1.08251,0.83524,0.8065,0.89075,0.64312,1.03416,1.86489,1.22189,0.00064768,0.00064768,0.00064768
6,582.453,0.74322,1.26424,1.05112,0.90381,0.74745,0.83324,0.51909,0.95198,2.06312,1.16855,0.0007102,0.0007102,0.0007102
7,661.969,0.70146,1.08341,1.03572,0.94862,0.8392,0.93543,0.7048,0.88869,1.67034,1.15584,0.00074896,0.00074896,0.00074896
8,750.273,0.66935,1.03278,1.01159,0.93929,0.87916,0.94412,0.73362,0.669,1.50039,1.0013,0.00076396,0.00076396,0.00076396
9,888.052,0.64243,0.9894,0.97701,0.98714,0.87245,0.94733,0.72559,0.68624,1.46105,1.03882,0.0007552,0.0007552,0.0007552
10,1099.58,0.63665,0.92809,0.96665,0.95912,0.88636,0.94818,0.72878,0.65117,1.35888,1.05303,0.00072268,0.00072268,0.00072268
11,1325.47,0.63845,0.90248,0.97935,0.97425,0.86001,0.94585,0.7425,0.60768,1.1638,1.03601,0.0006664,0.0006664,0.0006664
12,1525.8,0.55,0.83478,0.93329,0.90393,0.92045,0.96993,0.75131,0.65162,1.20762,1.01782,0.000548,0.000548,0.000548
13,1643.39,0.59235,0.84744,0.95471,0.94216,0.92562,0.98055,0.76485,0.64575,1.15029,1.07373,0.000416,0.000416,0.000416
14,1722.65,0.53426,0.79738,0.92476,0.94246,0.93067,0.97639,0.78916,0.60094,1.0373,1.06687,0.000284,0.000284,0.000284
15,1806.3,0.49225,0.78616,0.89608,0.95266,0.91466,0.97847,0.80846,0.57225,1.01193,1.04706,0.000152,0.000152,0.000152
